cedant,claim_id,policy_id,date_of_loss,reported_date,paid_amount,outstanding_amount,currency,cause_of_loss,insured_name
Alpha Mutual,AL-C01,AL-001,2025-03-10,2025-03-25,70000,20000,USD,Fire,Northwind Logistics
Alpha Mutual,AL-C02,AL-003,2025-06-01,2025-06-20,40000,0,USD,ThirdPartyInjury,Summit Chemicals
Alpha Mutual,AL-C03,AL-005,2025-07-15,2025-07-30,80000,40000,USD,Storm,Coastal Foods
Alpha Mutual,AL-C04,AL-002,2025-05-05,2025-11-20,30000,0,USD,CargoDamage,Harbor Freight Co
Alpha Mutual,AL-C05,AL-004,2025-08-01,2025-08-15,20000,5000,USD,Fire,Ridgefield Retail
Alpha Mutual,AL-C06,AL-001,2025-09-12,2025-09-20,25000,0,USD,Fire,Northwind Logistics
Beta Insurance,BE-C07,BE-001,2025-09-12,2025-09-22,25000,0,USD,Fire,Northwind Logistics
Beta Insurance,BE-C01,BE-003,2025-04-01,2025-04-18,12000,0,USD,CargoDamage,Orion Shipping
Beta Insurance,BE-C02,BE-002,2025-07-01,2025-07-15,8000,2000,USD,SlipAndFall,Lakeside Hotels
Beta Insurance,BE-C03,BE-006,2025-08-10,2025-08-25,4000,0,USD,Collision,Silverline Transport
Gamma Re,GA-C01,GA-004,2025-05-20,2025-06-10,18000,6000,USD,ProfessionalNegligence,Cedar Bank
Gamma Re,GA-C02,GA-002,2025-06-15,2025-07-01,12000,0,USD,Fire,Northgate Utilities
Gamma Re,GA-C03,GA-003,2025-09-01,2025-09-15,7000,2000,USD,CargoDamage,Pinnacle Foods
Delta P&C,DE-C01,DE-002,2025-03-20,2025-04-05,15000,4000,USD,ThirdPartyInjury,Fairview Hospitals
Delta P&C,DE-C02,DE-001,2025-07-25,2025-08-10,9000,0,USD,Fire,Metro Construction
Delta P&C,DE-C03,DE-005,2025-08-30,2025-09-12,3500,0,USD,Collision,Hillcrest Auto
Delta P&C,DE-C04,DE-003,2025-10-01,2025-10-15,6000,1500,USD,Fire,Bluewave Retail
